καί,"and, even, also, namely"
πηχῶν,a cubit
ἀνέμοις,the wind
ἀπέστη,"I lead away, seduce, depart, abstain from"
ἐκαυματίσθη,"I burn, scorch"
ἐναντίας,"opposite, opposed, contrary, the adversary"
δοξάζηται,"I glorify, honor, bestow glory on"
κοίνου,"I make unclean, regard as unclean"
ζυμοῖ,"I leaven, ferment"
φοβερόν,"fearful, dreadful"
ταπεινοφροσύνην,humility
ἐκφύῃ,"I put forth, cause to sprout"
γρηγορῶν,"I am awake, am vigilant, watch"
πεπίστευκε(ν),"I believe, have faith in"
τράπεζαν,a table for food or business
Ἰόππης,Joppa
ἤγγισαν,"I come near, approach"
νομικοῖς,"about law, one learned in the Law"
δέροντες,"I flay, flog, scourge, beat"
ἑνότητα,"oneness, unity"
φανερῷ,"apparent, clear, visible, manifest, clearly"
παραλυτικός,afflicted with paralysis
ἔδειραν,"I flay, flog, scourge, beat"
ὑπήκοοι,"listening to, obedient"
ἐνέβη,I embark
ὠρχήσασθε,I dance
φιλήσω,"I love, kiss"
τοιαύταις,"of such a kind, such"
ἐπιποθῶν,"I long for, strain after, desire greatly"
βασιλεύσει,"I rule, reign, reign over"
διϊσχυρίζετο,I assert emphatically
Ἠλίου,Elijah
δόξῃ,"I think, seem, appear, it seems"
ἄλαλον,unable to speak
δίδραχμα,"a double-drachma, two drachmae"
κακοποιῶν,an evil-doer
μεγάλων,"large, great"
πλουτεῖν,I become rich
Μαθθαῖος,Matthew
προσηνέγκατε,"I bring to, offer"
πόρνης,a prostitute
πρόσκομμα,a stumbling-block
βαστάσει,"I carry, carry away, bear"
Σιλουανοῦ,Silvanus
εἰσάγεσθαι,"I lead in, bring in"
προΐστασθαι,I rule
πληρώματα,"fullness, fulfillment, completion"
φρονήσει,understanding
ἔλεγξον,"I rebuke, expose"
ἐνεργουμένην,"I work, accomplish, am operative"
εἰσῆλθες,"I go in, come in, enter"
φλόξ,a flame
διδάξει,I teach
μακροθυμήσατε,"I suffer long, have patience, am forbearing"
πνευματικῶς,spiritually
κράζων,"I cry aloud, shriek"
ἀποστερεῖτε,"I deprive one of something, rob"
ἐπεχείρησαν,"I take in hand, attempt"
ὀψωνίοις,"pay, wages"
αὐλῇ,"court-yard, fore-court, palace, house"
ποτίσῃ,"I cause to drink, give to drink"
εὐδόκησας,"I am resolved, well-pleased"
πλουσίοις,rich
παρεδίδου,"I hand over, deliver, betray"
κλύδωνι,rough water
πίωμεν,"I drink, imbibe"
ἀλώπεκες,a fox
φυλάς,"a tribe, race"
ὑποκριτά,"a hypocrite, dissembler"
τύχωσι(ν),"I obtain, I happen, perhaps"
ἔδωκα,"I offer, give"
κόπος,"trouble, toil, labor"
κριτήρια,"criterion, a law-court"
γεγόνασι(ν),"I come into being, am born"
ἀνηγγέλη,"I announce, make known, report"
κληθήσῃ,"I call, invite, name"
κυναρίοις,a little dog
μαργαρίτας,a pearl
σπουδάσατε,I hasten
νεκροῖς,"dead, a corpse"
ἀποτόμως,"sharply, severely"
ἄτερ,"apart from, without"
φέρον,"I carry, bear, bring, lead"
νενομοθέτηται,"I ordain, enact"
κρίναντες,"I judge, decide, think good"
ἄδικοι,"unjust, unrighteous"
ποιμαίνειν,"I shepherd, tend"
Συρίας,Syria
ὑπακούει,"I listen, obey"
πιστεύῃ,"I believe, have faith in"
αἶνον,praise
ἀνέστησαν,"I raise up, set up, rise from"
Μαθθάτ,Matthat
ἀνάγαιον,upper room
πρεσβυτέριον,an assembly of elders
θεαθῆναι,"I see, behold, contemplate, visit"
κριθῶσι(ν),"I judge, decide, think good"
ἀγαπητοῖς,"loved, beloved"
φοβουμένοις,"I fear, am terrified"
τεθῇ,"I put, place"
ἀπέδωκε(ν),"I give back, return, sell"
εὐαγγελισθέν,"I bring good news, preach good tidings"
νικῶντι,"I conquer, overcome"
γεννητοῖς,"begotten, born"
ἀνεπίλημπτον,above reproach
παρῃτημένον,"I make excuse, refuse, reject"
ἰσχυρῶν,"strong, mighty, powerful"
ταράσσοντες,"I agitate, stir up, trouble"
ἀφήσω,"I send away, release, remit, forgive, permit"
σταύρου,I crucify
ἡγεμόνα,a governor
κεράτων,a horn
μακρά,"long, distant"
μακαρισμός,"regarding as happy, blessed, or enviable"
σταυρωθήτω,I crucify
ἔσπειρα,"I sow, spread, scatter"
ἐπιστολάς,"a letter, dispatch, epistle"
θέλοντος,"I will, wish, desire"
προσελθοῦσα,"I come near, consent to"
ποταμός,"a river, torrent"
πόλεσι(ν),a city
διήρχοντο,"I pass through, spread a report"
ἔμφοβοι,"full of fear, terrified"
ἀποθνῄσκομεν,"I am dying, am about to die"
οἰκητήριον,"a dwelling-place, habitation"
αἰτώμεθα,"I ask, request, beg, petition"
βόας,an ox
τύχοι,"I obtain, I happen, perhaps"
ξένον,"new, novel, a foreigner"
εἵνεκεν,because of
γεγόναμεν,"I come into being, am born"
στενοχωρίαις,"a narrow space, great distress"
ἐπαισχυνθῇ,I am ashamed
Ζαχαρίαν,Zechariah
ἄμμον,sand
γεγόνατε,"I come into being, am born"
βραδύς,slow
ἀσθενῶν,"weak, infirm, sick"
φρονίμοις,"intelligent, prudent"
περισσεύοντος,"I exceed, am left over"
γνησίῳ,"real, true, genuine"
ἐγείρειν,"I wake, arouse, raise up"
συνηγάγετε,I gather together
μερισθεῖσα,"I divide, part, share"
ὅρκον,an oath
Ἐλιούδ,Eliud
θυγάτριον,a little daughter
πέτρᾳ,rock
κλητός,"called, summoned"
θυρωρός,"a door-keeper, porter"
θυρίδος,a window-sill
κύνες,a dog
Ναζαρά,Nazareth
ἀγνοοῦντες,"I do not know, am ignorant of"
συνεργός,a fellow worker
ραββουνι,"Rabbi, my master"
εὐθεῖαν,"straight, immediately"
προέγνω,I know beforehand
ἐσκανδαλίζοντο,I cause to stumble
εὐχαριστεῖν,"I thank, give thanks"
ὦ,"I am, exist"
σύνδουλοι,"a fellow servant, colleague"
ἀγνωσίαν,ignorance
κέκριται,"I judge, decide, think good"
λάμπει,I shine
ὑπεστειλάμην,"I draw back, conceal"
ἐπαισχυνθήσεται,I am ashamed
ἀγαπήσαντος,I love
πράσσουσι(ν),"I do, fare, require"
κλάσει,a breaking
δικαία,"just, righteous, impartial"
ὠδίνουσα,"I am in travail, suffer birth-pangs"
νυμφίον,a bridegroom
ἐδόξαζε(ν),"I glorify, honor, bestow glory on"
εὔθετον,"suitable, fit, useful"
καύχησιν,"the act of boasting, exultation"
ὑμετέρας,your
σπείρουσι(ν),"I sow, spread, scatter"
ἁρπαγῆς,"the act of plundering, plunder, spoil"
ἐπαγγελιῶν,a promise
καθαρίζονται,I make clean
κρίματι,"a judgment, verdict, lawsuit"
ἐξεληλύθει,"I go out, come out"
ἐλεγχόμενος,"I rebuke, expose"
γογγυσμός,"murmuring, grumbling"
εἰδῶ,"I know, remember"
κατενόησε(ν),"I understand, perceive, consider"
περισσεῦον,"I exceed, am left over"
καίεται,"I ignite, light, burn"
οἰκεῖν,"I inhabit, dwell"
ἐδόξασα,"I glorify, honor, bestow glory on"
δέῃ,I bind
εὐδοκίας,"good-will, favor"
διδόντος,"I offer, give"
διορύσσουσι(ν),"I dig through, break through"
ἐμνήσθη,"I remember, recall"
κλήρους,"a lot, portion"
παρεγενόμην,"I appear, come, arrive at"
αἰφνίδιος,"unexpected, sudden"
ἀπέχοντος,"I have in full, am far, it is enough"
ἀγαθῆς,good
κτᾶσθαι,"I win, get, buy, possess"
ἀπεθάνομεν,"I am dying, am about to die"
πλοιάριον,a little boat
περισσεύῃ,"I exceed, am left over"
ἐστρωμένον,"I spread, make a bed"
εὐλαβής,"cautious, pious"
ζήλου,"eagerness, zeal, rivalry"
λαμπρᾷ,"shining, magnificent, bright"
διδόντα,"I offer, give"
ἀπάτῃ,"deceit, deception"
ἵλεως,"propitious, forgiving"
γεωργός,"a worker of the soil, husbandman, vine-dresser"
ἐργάζομαι,"I word, trade, do"
συλλαλοῦντες,I talk with
ἱκανοῦ,"sufficient, worthy, many, much"
διῆλθε(ν),"I pass through, spread a report"
καθῆσθαι,"I sit, am seated"
διηπόρει,"I am in trouble, doubt, difficulty"
τίνας,"who, which, what"
προσεύξωμαι,"I pray, pray for"
εὑρήκαμεν,I find
στενῆς,narrow
καταβῆναι,"I go down, come down"
θαυμάζοντες,"I wonder, admire"
αἰσχυνθήσομαι,"I am ashamed, am put to shame"
κατήλθομεν,I come down
φθορᾷ,"corruption, destruction, decay"
σπεῖραι,"I sow, spread, scatter"
συνάγουσι(ν),I gather together
ἔπιον,"I drink, imbibe"
ἀπάγουσα,"I lead, carry, take away"
ἐξέμαξε(ν),"I wipe, wipe off thoroughly"
ἄφρονες,"senseless, foolish, inconsiderate"
καιόμενος,"I ignite, light, burn"
ὀνικός,pertaining to an ass
ἠκολουθήσαμεν,"I accompany, attend, follow"
κλάδοι,a branch
μάστιγος,"a scourge, lash, sufferings"
καταγγέλλειν,"I declare openly, preach"
ἐκεῖσε,"thither, there"
οἷοι,"of what kind, such as"
ἀνεῖλε(ν),"I take up, abolish, murder"
ὑπομνήσει,remembrance
ἀγαπᾷς,I love
σκολιᾶς,"crooked, perverse, unfair"
ματαιότητι,"vanity, purposelessness"
Γάϊος,Gaius
ἀγοράζει,I buy
συγγενείας,"kindred, family"
εἰσήλθομεν,"I go in, come in, enter"
συνευδοκῶν,"I consent, agree, am of one mind with"
τόποις,a place
προελθών,"I go before, precede"
μετεμορφώθη,"I change the form, transform"
ἀνατολῇ,"rising of the sun, the East"
ἡγεμόσι(ν),a governor
ἀγαθοποιῆσαι,I do that which is good
κεχρυσωμένη,"I gild, adorn with gold"
μητέρας,a mother
λύσῃ,"I loose, untie, release, destroy"
σιαγόνα,"the jawbone, cheek"
ἐργασίας,"working, activity, trade, performance"
θύραι,"a door, opportunity"
μόνας,"only, solitary, desolate"
ἀνυπόκριτος,"unfeigned, without hypocrisy"
γνώμης,"opinion, counsel, judgment, intention"
ἐγνώσθη,"I come to know, learn, realize"
εὐλογημένη,I bless
φάσκοντες,"I assert, affirm, profess"
ἑνδεκάτην,eleventh
διαβλέψεις,"I see through, see clearly"
θελήματα,"will, wish, desire"
ἀνατείλαντος,"I make to rise, I rise, shine"
καθεύδων,"I sleep, am sleeping"
σωφρονοῦντα,"I am sober-minded, exercise self-control"
ἁρπάζει,"I seize, snatch, obtain by robbery"
ἅπτεται,"I kindle, light"
παρῆσαν,"I am present, am near"
ἠμφιεσμένον,"I put on, clothe"
οἰκονόμους,a steward
διάκονον,"a waiter, servant, administrator"
ἀποκαλυφθῇ,"I uncover, bring to light, reveal"
ζῇς,I live
δεδώκει,"I offer, give"
ἄχρις,as far as
μύλος,a millstone
περιπατοῦντος,"I walk, conduct my life"
τιμήσει,"I value at a price, honor"
ἰσχύσαμεν,"I am strong, able"
Ναζαρηνέ,of Nazareth
παραλελυμένος,"I relax, enfeeble"
ἐκοπίασα,"I grow weary, toil"
ἐντροπήν,shame
ἄγριον,"wild, fierce"
βάλλοντας,"I cast, throw, rush, put, place, drop"
ἀναχθῆναι,"I lead up, put to sea, set sail"
ἐληλυθότα,"I come, go"
εἰωθός,"I am accustomed, custom, what was customary"
ἐρημοῦται,"I destroy, strip, rob"
λευκάς,"white, bright"
ἀπεστάλη,"I send forth, send, send away, dismiss"
ἐνευλογηθήσονται,I bless
ἀνθρωπίνης,"belonging to human beings, human"
μαρτυρίας,"witness, evidence, testimony"
κατήγοροι,"a prosecutor, accuser"
ἐκβαλόντες,"I throw, cast, put out, banish, bring forth, produce"
ἐτέθην,"I put, place"
λαοῖς,"a people, the crowd"
ὅρκῳ,an oath
ἐράντισε(ν),I sprinkle
σφαγῆς,"slaughter, sacrifice"
συλλέγουσι(ν),"I collect, gather"
βαπτισθέντες,"I dip, submerge, baptize"
πληροφορίᾳ,full assurance
ἀσθενειῶν,"want of strength, weakness, illness"
παραγγελίας,"a command, charge"
ἀπειθούντων,"I disobey, rebel, am disloyal"
σῴζειν,"I save, heal"
παντελές,"complete, forever, entirely"
κατενόουν,"I understand, perceive, consider"
τετρακισχιλίους,four thousand
ἐπαγγειλάμενος,"I promise, profess"
ἄσπιλον,"unstained, undefiled"
χιών,snow
χωρεῖν,"I make room, go, receive"
θύουσι(ν),"I sacrifice, kill"
θαυμάζειν,"I wonder, admire"
προσένεγκε,"I bring to, offer"
ἠγοράσθητε,I buy
περιλειπόμενοι,I leave behind
θείου,"brimstone, sulfur"
ἐντέλλομαι,"I give orders, command"
κλεῖν,a key
ὀδόντας,a tooth
ἐρωτᾷς,"I ask, question, request"
λοιπάς,"left, left behind, the remainder"
νηστεύων,I fast
ἐβασιλεύσατε,"I rule, reign, reign over"
ἠγόρασαν,I buy
ἐπιτρέψῃ,"I allow, permit"
ποιήσετε,"I do, make"
Γαμαλιήλ,Gamaliel
πεφανέρωται,"I make clear, visible, or manifest"
Κρήτης,Crete
σκάφης,a boat
ἠρημώθη,"I destroy, strip, rob"
ἐπιγνώσεως,"knowledge, discernment, recognition"
προσδραμών,I run to
γεύσασθαι,"I taste, experience"
ἐξαγαγών,I lead out
κλίβανον,"an oven, furnace"
παρηγγείλαμεν,"I notify, command, charge"
ἀποδεκατοῦτε,"I take off a tenth part, pay tithe"
Κηφᾷ,Cephas
Γόμορρα,Gomorrah
Ἰουδαῖον,Jewish
ἐπείρασαν,"I try, tempt, test"
εἰδότας,"I see, look upon, experience"
δεκάτας,"a tenth part, a tithe"
ἐάνπερ,if indeed
ἀγαθῇ,good
χαλεποί,"hard, harsh, fierce"
εὐχαριστία,"thankfulness, gratitude"
ἐπεθύμησαν,"I long for, covet, lust after"
ἀετοί,"an eagle, bird of prey"
ἀκαταστασίας,"disturbance, upheaval, revolution"
λίνον,"flax, linen"
βῆμα,"the space covered by a step of the foot, a tribunal"
σκληρός,"hard, violent, harsh, stern"
διεγερθείς,"I wake out of sleep, I arouse"
μαστίγων,"a scourge, lash, sufferings"
δεσπότας,"a lord, master, or prince"
ὀδυνώμενοι,"I torment, pain"
ὑπομενεῖτε,"I remain behind, endure"
ζύμη,"leaven, ferment"
νῆσον,an island
δοξάσω,"I glorify, honor, bestow glory on"
ὠνόμασε(ν),"I give a name to, mention"
ἀνατρέπουσι(ν),"I subvert, overturn, overthrow"
ὑπερηφάνοις,"proud, arrogant"
καθαρισμόν,"cleansing, purifying, purification"
ἀντιμισθίαν,"a reward, recompense"
κελεύσας,"I command, order"
μάγων,"a sorcerer, magician, wizard"
ὕψωμα,"height, barrier, bulwark"
γέγραφα,I write
ἠδίκησε(ν),I act unjustly towards
ἀπώλεσα,"I destroy, lose, am perishing"
ὤμοσα,"I swear, take an oath"
ταρασσέσθω,"I agitate, stir up, trouble"
ἰδιώτης,"an amateur, layman"
ὁδοί,"a way, road, journey"
δῆσαι,I bind
ὑπηρέτην,"a servant, an attendant"
ταπεινώθητε,"I humble, humiliate"
ἐλθέτω,"I come, go"
ἀντίδικος,"an opponent, adversary"
συνέρχονται,"I come or go with, accompany, assemble"
λαλούμενον,"I speak, say"
Ἕλληνι,"a Hellene, a Greek"
οἰκοδομή,"the act of building, a building, edification"
συντελεῖσθαι,"I fulfill, accomplish"
σκανδαλισθήσεσθε,I cause to stumble
ἔρχηται,"I come, go"
ἀνθέξεται,I hold fast to
νήστεις,"fasting, without food"
πολεμῆσαι,"I make war, contend"
ἀποθνῄσκωμεν,"I am dying, am about to die"
ἀποστολήν,"commission, duty of apostle, apostleship"
Ἐπαφρᾶς,Epaphras
ἀπέλθητε,"I come or go away from, depart, return"
ἁπλοῦς,"single, simple, sound"
ἀσωτίας,"wantonness, profligacy"
διαλεγόμενος,"I converse, address, preach, lecture"
ἐγκαλοῦμαι,"I bring a charge against, accuse"
ὁρκίζω,"I adjure by, charge solemnly by"
νάρδου,"spikenard, a perfume"
ἐριθεῖαι,"ambition, rivalry"
Ἅγαβος,Agabus
σκυθρωποί,"gloomy, sad-countenanced"
ἑρπετῶν,"a creeping creature, reptile"
παραβολῇ,"a parable, comparison"
κοινωνός,"a sharer, partner"
ὀμόσαι,"I swear, take an oath"
βάλῃ,"I cast, throw, rush, put, place, drop"
κωφοί,"dumb, deaf"
ἀργυρᾶ,made of silver
μαρτυρῆσαι,"I witness, testify"
Λευίτης,a Levite
λαμβάνω,"I receive, take"
συναγαγών,I gather together
πλεῖστος,"much, many, often"
πρωτοκλισίαν,the chief place at a banquet
προθυμία,"inclination, readiness"
διδόντες,"I offer, give"
φόρους,"a tax, tribute"
φαγόντες,I eat
Ἀράμ,Ram
ἰσχύοντες,"I am strong, able"
στολαῖς,a long robe
μνήσθητε,"I remember, recall"
ἀντίκειται,"I resist, oppose"
ὄψις,"the features, outward appearance"
ἐνδημοῦντες,I am at home
μωρανθῇ,"I make foolish, taint, make useless"
παραμυθούμενοι,"I encourage, comfort, console"
νηστεύειν,I fast
ἐσιώπων,I keep silence
Ζακχαῖος,Zacchaeus
ἕξουσι(ν),"I have, hold, possess"
αἰτία,"a cause, reason, charge"
ἐσφαγμένων,I slay
ψεύσασθαι,I lie
ὁμοιότητα,"likeness, resemblance"
ἱερεῦσι(ν),a priest
Σπανίαν,Spain
κατέαξαν,I break in pieces
σάτα,nearly three English gallons
λάβε,"I receive, take"
πορνῶν,a prostitute
κλαύσετε,"I weep, weep for, mourn"
παραστήσατε,"I bring, present, come up to and stand by"
πράσσετε,"I do, fare, require"
ἅψηται,"I kindle, light"
κόπῳ,"trouble, toil, labor"
πλάνος,"misleading, a deceiver"
στῦλοι,a pillar
θεασάμενοι,"I see, behold, contemplate, visit"
ἀπόκοψον,"I smite, cut off, emasculate"
πρεσβείαν,"an embassy, delegation"
νηπίων,"an infant, child, unlearned"
περιβεβλημένον,"I cast around, clothe"
περιπατήσουσι(ν),"I walk, conduct my life"
μόχθῳ,"wearisome labor, toil, hardship"
προθυμίαν,"inclination, readiness"
λίθων,a stone
προσελάβετο,"I take to myself, welcome"
ἐκτινάξατε,I shake off
καταλύων,"I break up, overthrow, unharness, find a lodging"
ῥήξει,"I break, break forth"
ποιοῦμαι,"I do, make"
Χανάαν,Canaan
ἀληθινῷ,"true, real, genuine"
ἀρχισυνάγωγος,a leader of the synagogue
γεγέννημαι,"I beget, bring forth, give birth to"
ἀπέκτεινε(ν),"I put to death, kill"
ἀγαγεῖν,I lead
εἶδος,"visible form, shape, appearance, kind"
εἴχομεν,"I have, hold, possess"
οἰκοῦσα,"I inhabit, dwell"
αἵρεσιν,"a self-chosen opinion, a sect"
ἀγγελία,a message
ἐγνώκειτε,"I come to know, learn, realize"
ἰχθύος,a fish
πληρωθῆτε,"I fill, fulfill, complete"
καθίστησι(ν),"I set, establish, appoint, conduct"
ἐκήρυξαν,"I proclaim, herald, preach"
ἐμέτρησε(ν),"I measure, estimate"
ἀκούσασα,"I hear, listen"
ἔδραμε(ν),"I run, exercise myself"
θεωρεῖν,"I behold, look at, experience"
δικαιοῦντα,"I make righteous, defend the cause of, justify"
φιλάργυροι,"money-loving, avaricious"
Ἰάσονος,Jason
ἐπεμείναμεν,"I remain, tarry, persist in"
φαῦλα,"worthless, wicked, base"
λίβανον,incense
διερμηνεύῃ,"I translate, interpret, explain"
Μάρθαν,Martha
βαπτίζομαι,"I dip, submerge, baptize"
θῦσον,"I sacrifice, kill"
κεχάρισται,"I show favor to, forgive"
βεβαρημένοι,"I weight, load, burden"
ἐλπίζων,"I hope, hope for, expect"
πληρώσῃ,"I fill, fulfill, complete"
νόσων,"a disease, malady"
ἐγκεντρισθήσονται,I graft in
κοπιῶντες,"I grow weary, toil"
ἐπέστρεψε(ν),I turn back to
ψεύδεσθε,I lie
ἀντιλογίας,"contradiction, contention, rebellion"
ἀποστέλλουσι(ν),"I send forth, send, send away, dismiss"
ὠτίον,an ear
εὕρομεν,I find
μεγιστᾶνες,"a great one, a lord"
ἀνέπεσαν,"I lie down, recline, fall back upon"
ἐτύφλωσε(ν),I make blind
δραχμήν,a drachma
κολλώμενος,"I glue, cleave, keep company with"
κλάσματα,a fragment
τρέμουσα,"I tremble, am afraid"
ἔταξαν,"I assign, arrange"
κακοποιῆσαι,"I do harm, do wrong"
κοινά,"common, shared, unclean"
ποιησάτω,"I do, make"
Δημήτριος,Demetrius
δεκάτην,"a tenth part, a tithe"
δαιμονιζόμενον,I am demon-possessed
κεκλημένους,"I call, invite, name"
ὀλίγας,"small, brief, few, soon"
μετῆρε(ν),"I change my position, depart, remove"
φύσεως,"nature, inherent nature"
νομήν,"pasturage, growth"
κατέστρεψε(ν),"I overturn, overthrow"
κηρύξατε,"I proclaim, herald, preach"
μετήλλαξαν,"I change, transform, alter"
χαλκολιβάνῳ,"orichalcum, or frankincense of a yellow color"
ἐκάμμυσαν,I close
καταλλαγῆς,reconciliation
εὕρητε,I find
λικμήσει,I crush to powder
λαλοῦντι,"I speak, say"
παραμενῶ,"I remain by, abide with"
δικαιωθῶμεν,"I make righteous, defend the cause of, justify"
ἐλευθερίας,"freedom, liberty"
ἀπεκάλυψας,"I uncover, bring to light, reveal"
ἄρσενες,male
μωροί,"stupid, foolish"
ὑπῆρχον,"I am, exist, am in possession"
εὐηγγελίσατο,"I bring good news, preach good tidings"
προσκύνησον,I worship
ἐκαθέζετο,"I am sitting, sit, am seated"
ἀναβαινόντων,"I go up, mount, ascend"
ἐβλασφήμουν,"I speak evil against, blaspheme"
συνθλασθήσεται,"I break, break in pieces"
προῆλθον,"I go before, precede"
ᾐτήσαντο,"I ask, request, beg, petition"
σεσαρωμένον,I sweep
ὀψάριον,a little fish
Ἰωάννα,Joanna
ἀποθνῄσκων,"I am dying, am about to die"
ἀποθήκας,"a repository, granary, barn, storehouse"
πονηρῷ,"evil, bad, wicked"
ἔλαχε(ν),"I obtain by lot, cast lots"
συναιχμάλωτος,a fellow captive
ἀλλαγησόμεθα,"I change, alter"
βόσκε,I feed
ἐσθίωσι(ν),I eat
ἁπλότητος,"simplicity, sincerity, purity"
πτωχῶν,"poor, destitute"
προσφοράν,"an offering, sacrifice"
καυχῶνται,"I boast, glory"
ἐκδύσαντες,"I put off, take off, strip off"
πίστευε,"I believe, have faith in"
ἀνθρακιάν,a heap of burning coals
διδακτικόν,"able to teach, apt to teach"
δεσπότην,"a lord, master, or prince"
προάγειν,"I lead forth, go before"
ταλαίπωρος,"wretched, afflicted, miserable"
δικαίῳ,"just, righteous, impartial"
δυνάστης,"a ruler, potentate"
ἐνδεδυμένοι,"I put on, clothe"
πραΰς,"mild, gentle"
ἑδραῖοι,"firm, steadfast"
ψεύδει,a lie
ἀκολουθῶν,"I accompany, attend, follow"
πιστά,"trustworthy, faithful, believing"
ἐπάρατε,"I raise, lift up"
θαῦμα,"a marvel, wonder"
συναγαγόντες,I gather together
κατέχεε(ν),I pour over
ἔνιψε(ν),I wash
χωρίζεσθαι,"I separate, depart"
κατεσθίει,I eat till it is finished
πιστέ,"trustworthy, faithful, believing"
παράγει,"I pass by, depart, pass away"
θεῖον,"brimstone, sulfur"
θεραπεύων,"I care for, attend, serve, heal"
συνάγονται,I gather together
Ἰορδάνην,the Jordan
καυχώμεθα,"I boast, glory"
σώφρονας,"self-controlled, temperate"
προσκαλεῖται,I summon
ὀστέων,a bone
πράξεις,"an action, deeds, function"
πλείοσι(ν),"much, many, often"
ταπεινοφροσύνης,humility
ἐθρηνήσαμεν,"I wail, lament"
μετανοήσῃ,"I repent, change my mind"
ταύρων,"a bull, an ox"
ὑπεραίρωμαι,"I raise beyond, uplift"
ὑπομένει,"I remain behind, endure"
μικρότερον,"little, small"
ὁμολογοῦσι(ν),"I confess, profess, acknowledge, praise"
κλοπαί,"thieving, theft"
παρέδωκας,"I hand over, deliver, betray"
Νικολαϊτῶν,a Nicolaitan
σῳζομένοις,"I save, heal"
ἐβάπτιζε(ν),"I dip, submerge, baptize"
Ἰορδάνῃ,the Jordan
Ματταθίου,Mattathias
δώρημα,"a gift, bounty"
ἐγηγερμένον,"I wake, arouse, raise up"
λαλοῦν,"I speak, say"
ἡδονῶν,"pleasure, lust, strong desire"
ἀποφυγόντες,"I flee from, escape"
ἐπαισχύνομαι,I am ashamed
κατάσχωμεν,"I hold fast, bind, restrain"
φρεσί(ν),"the mind, intellect"
ἀνθρωπάρεσκοι,desirous of pleasing men
καρποφοροῦσι(ν),I bear fruit
στεφάνους,"a crown, garland"
ὑπηκούσατε,"I listen, obey"
βαλλάντιον,"a purse, money-bag"
βλάσφημον,slanderous
καθαρίσῃ,I make clean
φέρητε,"I carry, bear, bring, lead"
κινοῦντες,"I move, stir, excite"
πορεύσομαι,"I travel, journey, go"
ἀνεχόμενοι,"I endure, bear with"
ξύλινα,wooden
τύπος,"a figure, model, type"
πεινῶντες,"I am hungry, needy"
αὑτοῦ,"himself, herself, itself"
ἐπλεόνασε(ν),"I abound, increase"
ἐξελήλυθε(ν),"I go out, come out"
περισσεύσῃ,"I exceed, am left over"
ἐμβάντα,I embark
χιλιάρχοις,a military tribune
διαθῆκαι,"a covenant, will, testament"
συναντήσας,"I meet, encounter"
ἐξέρχεσθε,"I go out, come out"
διακοσίους,two hundred
ἐκκέχυται,"I pour out, shed"
ἔκβασιν,"a way out, escape, result"
στρουθίων,"a small bird, sparrow"
Σαλήμ,Salem
παραγγελίαν,"a command, charge"
γλωσσόκομον,"bag, purse, box, chest"
σταθέντες,"I cause to stand, stand"
ἀνθρωπίνῃ,"belonging to human beings, human"
δάκρυσι(ν),a tear
κακολογῶν,"I speak evil of, curse"
Σιλᾷ,Silas
προσδοκίας,"expectation, waiting"
σουδαρίῳ,a handkerchief
πάσχει,"I am acted upon, suffer"
εἰλικρινείας,"clearness, sincerity, purity"
λαμπράν,"shining, magnificent, bright"
ἐπιστεύσαμεν,"I believe, have faith in"
δοξάσωσι(ν),"I glorify, honor, bestow glory on"
ἑτοίμην,"ready, prepared"
φυτεύων,I plant
Κρήτην,Crete
διαλεγομένου,"I converse, address, preach, lecture"
ἀθέσμων,lawless
Ἀχαΐα,Achaia
σωτῆρι,"a savior, deliverer, preserver"
κλῆσιν,"a calling, summons"
τηρήσω,"I keep, guard, observe"
μισήσουσι(ν),"I hate, detest"
Στεφάνῳ,Stephen
εὐωδίας,a sweet smell
γράφομεν,I write
καυχήσηται,"I boast, glory"
συναποθανεῖν,I die together with
φιλαδελφίαν,brotherly love
διελογίζετο,"I reason, debate, consider"
ποίμνην,a flock
ἐξηπάτησε(ν),I deceive thoroughly
ἐπιστρέψαι,I turn back to
εὐαγγελίζεσθαι,"I bring good news, preach good tidings"
Βαραββᾶς,Barabbas
ὀλίγος,"small, brief, few, soon"
ἐλαλήθη,"I speak, say"
προσκαλεσάμενοι,I summon
φεύγει,"I flee, escape, shun"
ἰδίαις,"one's own, private, personal"
ἀναγαγεῖν,"I lead up, put to sea, set sail"
πυράν,a fire
ἀλεύρου,"meal, flour"
συναγωγή,"an assembly, congregation, synagogue"
ὑποστρέψαι,"I turn back, return"
ἐπικαλεῖται,"I call by an additional name, appeal to"
ἐξαλείψει,"I wipe away, obliterate"
βασιλικός,"connected with a king, royal, regal"
συγκακοπάθησον,I suffer hardships together with
διψῶ,"I thirst for, desire earnestly"
ἀπάτη,"deceit, deception"
χειροποιήτοις,done or made with hands
Σατανᾷ,"an adversary, Satan"
ἀμερίμνους,free from anxiety
βραχύ,short
αἴροντος,"I raise, lift up"
βασανισθήσονται,"I torment, torture, buffet"
κυλλούς,"crippled, lame"
ἐποιήσαμεν,"I do, make"
κοιναῖς,"common, shared, unclean"
κατακλυσμός,"a deluge, flood"
βοῶν,an ox
ἰός,"poison, rust"
πλανῶν,"I lead astray, deceive"
ἐκωλύομεν,"I prevent, hinder"
ἀνέῳγε(ν),I open
Σοδόμοις,Sodom
βρώσεως,"eating, food, a meal, rust"
ἀνταποδώσω,I give in return
ὤμους,a shoulder
